titolo,piattaforma,anno,genere,colori_schermo,colore_dominante,url_copertina
Kung Fu,NES,1985,Action,24,#B22222,https://m.media-amazon.com/images/I/91D9LR2TI0L.jpg
Final Fantasy III,SNES,1994,Role-Playing,227,#228B22,https://i.ebayimg.com/images/g/SX8AAeSw09dpm86m/s-l1200.jpg
Baseball,NES,1983,Sports,16,#32CD32,https://upload.wikimedia.org/wikipedia/en/6/64/Baseball_NES_box_art.jpg
Killer Instinct,SNES,1995,Fighting,234,#B22222,https://i.ebayimg.com/images/g/Vv0AAOSwD3pkXsAF/s-l1200.jpg
Dragon Quest VI: Maboroshi no Daichi,SNES,1995,Role-Playing,191,#228B22,https://cdn.mobygames.com/covers/5778253-dragon-quest-vi-maboroshi-no-daichi-snes-front-cover.jpg 
Dragon Warrior IV,NES,1990,Role-Playing,25,#228B22,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Dragon_Quest_IV_cover.jpg/250px-Dragon_Quest_IV_cover.jpg
World Class Track Meet,NES,1986,Sports,13,#32CD32,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRp_lqeOMChcDRM7lZPNdYyUy9dqlBf6NskmA&s
Mike Tyson's Punch-Out!!,NES,1987,Fighting,25,#B22222,https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/Mike_Tyson%27s_Punch-Out%21%21_NES_Box.jpg/250px-Mike_Tyson%27s_Punch-Out%21%21_NES_Box.jpg
Star Fox,SNES,1993,Shooter,160,#708090,https://upload.wikimedia.org/wikipedia/en/5/52/Star_Fox_SNES.jpg
F-Zero,SNES,1990,Racing,228,#32CD32,https://upload.wikimedia.org/wikipedia/en/9/9b/SNES_F-Zero_boxart.jpg
Dragon Quest V: Tenkuu no Hanayome,SNES,1992,Role-Playing,207,#228B22,https://upload.wikimedia.org/wikipedia/en/b/b7/Dragon_Quest_V_Box_Art.png
Mario Paint,SNES,1992,Misc,191,#5C94FC,https://upload.wikimedia.org/wikipedia/en/e/ea/Mario_paint_box.jpg
Metroid,NES,1986,Action,15,#8B008B,https://static.wikia.nocookie.net/metroid/images/0/08/Super_Metroid_box.jpg/revision/latest?cb=20220628082152
Mortal Kombat,GEN,1992,Fighting,46,#B22222,https://upload.wikimedia.org/wikipedia/en/3/33/Mortal_Kombat_cover.JPG
Super Mario Bros.: The Lost Levels,NES,1986,Platform,25,#5C94FC,https://upload.wikimedia.org/wikipedia/en/b/b5/Mariobros2japanbox.jpg
Streets of Rage,GEN,1990,Action,50,#B22222,https://upload.wikimedia.org/wikipedia/en/0/06/Streets_of_Rage_%28cover%29.jpg
Dragon Warrior II,NES,1987,Role-Playing,14,#228B22,https://upload.wikimedia.org/wikipedia/en/f/fd/Dragon_Warrior_II.jpg
Dragon Warrior,NES,1986,Role-Playing,14,#228B22,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Dragon_Warrior.jpg/250px-Dragon_Warrior.jpg
Final Fantasy V,SNES,1992,Role-Playing,217,#228B22,https://upload.wikimedia.org/wikipedia/en/0/00/Final_Fantasy_V_Box_JAP.jpg
Ice Hockey,NES,1988,Sports,14,#32CD32,https://upload.wikimedia.org/wikipedia/en/3/3d/Icehockeyvideogame.jpg
Pro Wrestling,NES,1987,Fighting,18,#B22222,https://upload.wikimedia.org/wikipedia/en/8/8d/Nesprowrestlingbox.jpg
Chrono Trigger,SNES,1995,Role-Playing,208,#228B22,https://upload.wikimedia.org/wikipedia/en/a/a7/Chrono_Trigger.jpg
Mario Bros.,NES,1983,Platform,22,#5C94FC,https://static.wikia.nocookie.net/ahistoryofthemushroomkingdom/images/0/01/Mario_Bros._NES_Cover.png/revision/latest/thumbnail/width/360/height/450?cb=20171108231108
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990,Action,17,#B22222,https://static.wikia.nocookie.net/nintendo/images/d/d5/Teenage_Mutant_Ninja_Turtles_II_The_Arcade_Game_%28NA%29.jpg/revision/latest/thumbnail/width/360/height/360?cb=20250611002315&path-prefix=en
Pro Yakyuu Family Stadium,NES,1986,Sports,25,#32CD32,https://upload.wikimedia.org/wikipedia/en/f/fc/Pro_Yakyuu_Family_Stadium.jpg
Tennis,NES,1984,Sports,13,#32CD32,https://upload.wikimedia.org/wikipedia/it/1/1c/Tennis_NES.jpg
Volleyball,NES,1987,Sports,24,#32CD32,https://upload.wikimedia.org/wikipedia/en/8/83/Volleyball_Cover.png
Super Mario RPG: Legend of the Seven Stars,SNES,1996,Role-Playing,237,#5C94FC,https://upload.wikimedia.org/wikipedia/en/8/89/SuperMarioRPGSNESCoverArtUS.jpg
Mahjong,NES,1983,Misc,21,#8A2BE2,https://upload.wikimedia.org/wikipedia/en/a/a7/4NinuchiMahjongBoxArt.jpg
R.C. Pro-Am,NES,1988,Racing,14,#32CD32,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxfAgsvhA94ft8x7Rp8LrToCUeWpKvb1dAEg&s
NBA Jam,GEN,1992,Sports,52,#32CD32,https://upload.wikimedia.org/wikipedia/en/a/a0/Nbajam.jpg
Super Street Fighter II,SNES,1993,Fighting,140,#FFA500,https://upload.wikimedia.org/wikipedia/en/7/7c/SSF2_US_flyer.png
SimCity,SNES,1991,Simulation,195,#8A2BE2,https://static.wikia.nocookie.net/simcity/images/8/8e/SimCity_SNES_box_art.jpg/revision/latest?cb=20141104052933
Rad Racer,NES,1986,Racing,23,#32CD32,https://m.media-amazon.com/images/I/61Uln4JoQoL._AC_UF894,1000_QL80_.jpg
Soccer,NES,1985,Sports,22,#32CD32,https://upload.wikimedia.org/wikipedia/it/b/b7/Soccer_Cover.png
Mortal Kombat II,SNES,1993,Fighting,212,#B22222,https://upload.wikimedia.org/wikipedia/en/d/df/Mortal_Kombat_II_boxart.png
Pinball,NES,1984,Action,22,#B22222,https://upload.wikimedia.org/wikipedia/it/e/ed/Pinball_NES.png
Secret of Mana,SNES,1993,Role-Playing,169,#228B22,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlBqDXF8e7_Izy-z-EZfHLo32DUwmgtWJ8uA&s
Sonic & Knuckles,GEN,1994,Platform,42,#0000FF,https://upload.wikimedia.org/wikipedia/en/d/d3/Sonic_%26_Knuckles_cover.jpg
Disney's The Lion King,SNES,1994,Platform,131,#5C94FC,https://static.wikia.nocookie.net/disney/images/4/4a/LionKing_SNES_Cover.jpg/revision/latest?cb=20110611035233
Final Fantasy II,SNES,1991,Role-Playing,178,#228B22,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWiYRWTKOXyYQjEDiGqruxAoBQ6hycoc5CBA&s
Sonic the Hedgehog 3,GEN,1994,Platform,49,#0000FF,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtqfu1BnicXPJAF7fneIFeMIQ2lM_Y7Wui2A&s
Kid Icarus,NES,1986,Platform,14,#5C94FC,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxSv54Zzx3a51wblsasDeevyUsjSx-CEG4xA&s
Yoshi,NES,1991,Puzzle,16,#FFD700,https://upload.wikimedia.org/wikipedia/en/0/0c/Yoshi_game_cover.png
Disney's Aladdin,SNES,1993,Platform,145,#5C94FC,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbWbGx3q87eybsg1m_OdX5EmJ1hxK82JOicA&s
Kirby's Adventure,NES,1993,Platform,19,#5C94FC,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSeGvTDPSxx_cS4lPe_-UIVyMF00U1sQE9Xxg&s
Super Puyo Puyo,SNES,1993,Puzzle,191,#FFD700,https://images.nintendolife.com/2b9d023ba1386/super-puyo-puyo-cover.cover_large.jpg
Disney's DuckTales,NES,1989,Platform,20,#5C94FC,https://upload.wikimedia.org/wikipedia/en/6/64/DuckTales_NES_Cover.png
Street Fighter II': Special Champion Edition,GEN,1992,Fighting,60,#FFA500,https://upload.wikimedia.org/wikipedia/en/f/f5/Street_Fighter_II_Dash_%28flyer%29.png
Super Scope 6,SNES,1991,Shooter,213,#708090,https://upload.wikimedia.org/wikipedia/en/9/97/Super_Scope_6_%28Cover%29.jpg
Ghosts 'n Goblins,NES,1986,Action,15,#B22222,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmkHcdQo4SNagE-TsmEYXml8_NTAt4UsF6FA&s
Donkey Kong Classics,NES,1988,Platform,18,#8B4513,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJQnEQvBzhv1ZZgtglX3W-2nD-zOyBuKMHdA&s
Final Fight,SNES,1990,Action,210,#B22222,https://upload.wikimedia.org/wikipedia/en/3/39/Final_Fight_2_NA_Cover.png
Mortal Kombat 3,SNES,1994,Fighting,173,#B22222,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTShW9yEqBTGdGeVFuygwfwCnNtpsb5ML47hQ&s
F1 Race,NES,1984,Racing,23,#32CD32,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSS-KK5LqcKugIveI7UUp3--HC7jx5nshnpCA&s
Xevious,NES,1984,Shooter,17,#708090,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTeQzU_7nXwDvPOz39lRfojUG29j_PWADweCw&s
Mega Man 2,NES,1988,Action,24,#00FFFF,https://upload.wikimedia.org/wikipedia/en/b/be/Megaman2_box.jpg
